AFFGEOID,Target Area
0500000US45057,96016.000000
0500000US51003,112395.000000
0500000US45051,351029.000000
0500000US22013,32926.061900
0500000US21043,32926.061900
0500000US48469,91319.000000
0500000US55075,41872.000000
0500000US19083,32926.061900
0500000US06041,262321.000000
0500000US05121,32926.061900
0500000US13157,75907.000000
0500000US51069,91419.000000
0500000US34013,863728.000000
0500000US48199,56231.000000
0500000US20131,32926.061900
0500000US04007,53272.000000
0500000US05117,32926.061900
0500000US48435,32926.061900
0500000US48239,32926.061900
0500000US21217,30555.794132
0500000US06079,282424.000000
0500000US36105,78624.000000
0500000US41023,32926.061900
0500000US48269,32926.061900
0500000US13031,81099.000000
0500000US05017,32926.061900
0500000US48311,32926.061900
0500000US08033,32926.061900
0500000US42033,80562.000000
0500000US16085,32926.061900
0500000US49015,32926.061900
0500000US53053,921130.000000
0500000US54095,28342.461284
0500000US36059,1395774.000000
0500000US48027,370647.000000
0500000US24029,32885.485329
0500000US37095,32926.061900
0500000US45053,32926.061900
0500000US18175,32926.061900
0500000US18051,33011.000000
0500000US05025,32926.061900
0500000US51117,32926.061900
0500000US13291,32926.061900
0500000US13301,31455.688819
0500000US32001,32926.061900
0500000US36013,127657.000000
0500000US05133,32926.061900
0500000US20023,32926.061900
0500000US51033,32926.061900
0500000US48353,32926.061900
0500000US37065,48900.000000
0500000US47045,36801.000000
0500000US01055,103436.000000
0500000US01131,32926.061900
0500000US01035,32926.061900
0500000US48127,32926.061900
0500000US21165,22245.364537
0500000US01115,91103.000000
0500000US08063,32926.061900
0500000US17043,932877.000000
0500000US26003,32926.061900
0500000US41001,32926.061900
0500000US18027,33381.000000
0500000US08113,32926.061900
0500000US42123,38587.000000
0500000US51153,482204.000000
0500000US21125,62613.000000
0500000US05107,32926.061900
0500000US48107,32926.061900
0500000US21139,32926.061900
0500000US21159,25187.510449
0500000US48087,32926.061900
0500000US19027,32926.061900
0500000US05085,74015.000000
0500000US48091,161501.000000
0500000US47093,478971.000000
0500000US23003,67105.000000
0500000US51067,54477.000000
0500000US20095,32926.061900
0500000US06007,211632.000000
0500000US25001,228996.000000
0500000US20001,32926.061900
0500000US37107,55122.000000
0500000US01025,32926.061900
0500000US51181,31087.948461
0500000US48287,32926.061900
0500000US53067,294793.000000
0500000US05109,32926.061900
0500000US17189,32926.061900
0500000US27119,32926.061900
0500000US37115,32926.061900
0500000US27097,34010.000000
0500000US42049,270876.000000
0500000US26115,154809.000000
0500000US53025,99123.000000
0500000US01111,32926.061900
0500000US06021,32926.061900
0500000US45049,32926.061900
0500000US26099,881217.000000
0500000US51109,37596.000000
0500000US26063,32926.061900
0500000US24041,37526.000000
0500000US27129,32926.061900
0500000US55037,32926.061900
0500000US21069,32926.061900
0500000US22105,133157.000000
0500000US48001,57922.000000
0500000US18125,32926.061900
0500000US38097,32926.061900
0500000US46009,32926.061900
0500000US48009,32926.061900
0500000US19035,32926.061900
0500000US05039,32926.061900
0500000US29171,32926.061900
0500000US28013,32926.061900
0500000US54025,32977.000000
0500000US04025,236209.000000
0500000US13025,32926.061900
0500000US26029,32926.061900
0500000US40145,80981.000000
0500000US36029,954236.000000
0500000US21123,28576.564464
0500000US01113,59183.000000
0500000US37141,60203.000000
0500000US30027,32926.061900
0500000US30063,117922.000000
0500000US51053,32926.061900
0500000US54005,32926.061900
0500000US05081,32926.061900
0500000US18137,32926.061900
0500000US48061,421017.000000
0500000US01101,228954.000000
0500000US51073,38711.000000
0500000US28151,44922.000000
0500000US13073,156010.000000
0500000US30077,32926.061900
0500000US48437,32926.061900
0500000US12123,32926.061900
0500000US12013,32926.061900
0500000US16003,32926.061900
0500000US13213,39973.000000
0500000US21029,82217.000000
0500000US48109,32926.061900
0500000US24045,103588.000000
0500000US37079,28992.543957
0500000US21231,32926.061900
0500000US48141,865657.000000
0500000US21109,32926.061900
0500000US38055,32926.061900
0500000US51036,22188.525604
0500000US13217,112483.000000
0500000US36061,1694251.000000
0500000US47155,98380.000000
0500000US21061,32926.061900
0500000US06095,453491.000000
0500000US41047,345920.000000
0500000US47073,56721.000000
0500000US20053,32926.061900
0500000US22017,237848.000000
0500000US47151,32926.061900
0500000US47159,32926.061900
0500000US30007,32926.061900
0500000US48195,32926.061900
0500000US06001,1682353.000000
0500000US22109,109580.000000
0500000US22029,32926.061900
0500000US45091,282090.000000
0500000US04027,203881.000000
0500000US12037,32926.061900
0500000US12029,32926.061900
0500000US06061,404739.000000
0500000US12133,32926.061900
0500000US47055,32926.061900
0500000US48379,28237.982355
0500000US12129,33764.000000
0500000US13271,32926.061900
0500000US18159,28429.874390
0500000US01129,32926.061900
0500000US06055,138019.000000
0500000US54073,15027.288647
0500000US37099,43109.000000
0500000US48051,32926.061900
0500000US13103,64769.000000
0500000US48431,32926.061900
0500000US48063,22185.293892
0500000US08031,715522.000000
0500000US28089,109145.000000
0500000US54087,32926.061900
0500000US54027,32926.061900
0500000US12131,75305.000000
0500000US54103,32926.061900
0500000US54083,32926.061900
0500000US21209,57155.000000
0500000US37149,25904.894601
0500000US08051,32926.061900
0500000US06057,102241.000000
0500000US51610,14658.000000
0500000US06069,64209.000000
0500000US51075,31797.719799
0500000US21121,32926.061900
0500000US35017,32926.061900
0500000US35021,32926.061900
0500000US37059,42712.000000
0500000US08049,32926.061900
0500000US29069,32926.061900
0500000US29183,405262.000000
0500000US13237,32926.061900
0500000US22073,160368.000000
0500000US48187,172706.000000
0500000US48491,609017.000000
0500000US39123,40364.000000
0500000US30051,32926.061900
0500000US06077,779233.000000
0500000US16059,32926.061900
0500000US13141,32926.061900
0500000US22025,32926.061900
0500000US24021,271717.000000
0500000US30035,32926.061900
0500000US37159,146875.000000
0500000US53061,827957.000000
0500000US24027,332317.000000
0500000US13113,119194.000000
0500000US01097,414809.000000
0500000US24043,154705.000000
0500000US51005,32926.061900
0500000US06013,1165927.000000
0500000US31077,32926.061900
0500000US48073,50412.000000
0500000US36063,212666.000000
0500000US36081,2405464.000000
0500000US51167,32926.061900
0500000US32015,32926.061900
0500000US53065,46445.000000
0500000US41045,32926.061900
