command,mean,stddev,median,user,system,min,max,parameter_qlcf
china_by_province_with_chinese_taipei_since_1998-14,6.49672828182,0.023732997598249907,6.49292740672,6.28508096,0.19357967999999998,6.45990149072,6.54450978172,14
china_by_province_with_chinese_taipei_since_1998-15,6.479637856720001,0.03692772797474107,6.49542917722,6.263489959999999,0.19623958,6.40479711472,6.517075864720001,15
conterminous_usa_by_state_since_1959-5,0.7498687792800001,0.015731324966344676,0.7450116413800001,0.7322605199999999,0.01424926,0.7362988298800001,0.7902274128800001,5
conterminous_usa_by_state_since_1959-6,0.63102182918,0.004361968251259989,0.63166832888,0.61712462,0.01264876,0.6248497048800001,0.6402194128800001,6
conterminous_usa_by_state_since_1959-7,0.6352931584800001,0.012421067254957879,0.6312404958800001,0.6185675199999999,0.013576359999999999,0.6272097458800001,0.6695375798800001,7
conterminous_usa_by_state_since_1959-8,0.57302311248,0.007663891101261965,0.5704938703800001,0.55835342,0.01322336,0.56535066188,0.5882228708800001,8
conterminous_usa_by_state_since_1959-9,0.57549032918,0.012031867295938223,0.5713066418800001,0.5581159199999999,0.013789159999999998,0.5662770788800001,0.6080146628800001,9
conterminous_usa_by_state_since_1959-10,0.52388558328,0.014683022951429392,0.5195531208800002,0.5072032200000001,0.01342176,0.5130034548800001,0.5630817878800001,10
conterminous_usa_by_state_since_1959-11,0.5216608291800001,0.020788806178866005,0.5097593498800002,0.50718862,0.01316386,0.5035705788800001,0.5536494128800001,11
conterminous_usa_by_state_since_1959-12,0.5205054960800002,0.016201824603082792,0.51270545438,0.50600992,0.01319216,0.5079487048800001,0.5498347458800001,12
conterminous_usa_by_state_since_1959-13,0.5847407373800002,0.012855536601823519,0.5815717668800001,0.5662707199999999,0.01532626,0.5747611208800001,0.6195598708800001,13
conterminous_usa_by_state_since_1959-14,0.59472477098,0.013563386399616422,0.5890195583800001,0.5759645199999999,0.01521896,0.58427203788,0.6272706208800001,14
conterminous_usa_by_state_since_1959-15,0.61796709138,0.012997568848511637,0.61459880788,0.5993580199999999,0.015372160000000001,0.6094713708800001,0.6541686628800001,15
croatia_by_county_since_1992-5,0.54683110926,0.0075529407939831615,0.54355514266,0.5373085599999999,0.0082013,0.54074551816,0.56556151816,5
croatia_by_county_since_1992-6,0.33788821336,0.0017170657888681223,0.33753960066,0.32877515999999996,0.0077718,0.33566547616,0.34091280916,6
croatia_by_county_since_1992-7,0.36760257166,0.0031020023657350173,0.36634610065999995,0.35822556,0.008258399999999999,0.36486772616,0.37479880916,7
croatia_by_county_since_1992-8,0.37158497156,0.009285860165610317,0.36871418416,0.35899426000000006,0.009612099999999998,0.36515126716,0.39598214216,8
croatia_by_county_since_1992-9,0.36832280506000004,0.002150713270862614,0.36836408016,0.35856515999999994,0.008621899999999998,0.36482368416,0.37293439216,9
croatia_by_county_since_1992-10,0.27295451743272725,0.010939023642165629,0.27034430916,0.26150712363636364,0.008351490909090908,0.26772255916,0.30573901716,10
croatia_by_county_since_1992-11,0.33570500096,0.0024325617354077488,0.33474005966,0.32576166,0.008719099999999999,0.33329835116,0.33951622516,11
croatia_by_county_since_1992-12,0.33440238425999996,0.00747830619929675,0.33201197565999996,0.32189116,0.009557199999999998,0.32824860016,0.35352239216,12
croatia_by_county_since_1992-13,0.36428392596000003,0.005242805186094467,0.36325170466,0.35363175999999996,0.0094735,0.35722201716,0.37228297616,13
croatia_by_county_since_1992-14,0.3624617379599999,0.0055970602526219165,0.36079410065999995,0.35234206000000007,0.009095999999999998,0.35665314216,0.37126635016,14
croatia_by_county_since_1992-15,0.30776873826,0.003403393518052512,0.30698112166,0.29845486,0.008199699999999999,0.30510643416,0.31722697516,15
croatia_by_county_since_1992-5,0.4035086207800001,0.012757286462099676,0.39892533728,0.39194870000000004,0.008434339999999999,0.39486394128,0.43676460828,5
croatia_by_county_since_1992-6,0.2456266915527273,0.0021205310549005088,0.24487152428,0.23795192727272726,0.006608867272727273,0.24381902528000002,0.25084244128000005,6
croatia_by_county_since_1992-7,0.24754807003000004,0.004947198509530001,0.24534367078000002,0.23824753333333334,0.006958806666666667,0.24449727528,0.26154289928,7
croatia_by_county_since_1992-8,0.24914939237090913,0.011551974329003534,0.24528935828,0.23860183636363635,0.007513049090909091,0.24407394128,0.28334110828000003,8
croatia_by_county_since_1992-9,0.24757619164363637,0.004739154651414687,0.24593202528000002,0.23951129090909093,0.006927867272727272,0.24374719128,0.25714727428000006,9
croatia_by_county_since_1992-10,0.30268044168,0.0028461997390369555,0.30391246278000006,0.29376589999999997,0.007838439999999999,0.29862227428000004,0.30581744228,10
croatia_by_county_since_1992-11,0.28210925428000005,0.010723921944635664,0.27814389978000004,0.27006430000000003,0.008926340000000001,0.27617885828000005,0.31188560828000006,11
croatia_by_county_since_1992-12,0.27992851658,0.004155203927833788,0.27825460828000004,0.27093280000000003,0.00794464,0.27582119128000004,0.28587544128000003,12
